conceptual_clarity_level,attention_span_category,retention_strength,problem_solving_speed_sec,error_pattern,growth_slope,response_to_feedback,revisions_per_week,days_between_revisions,method_of_revision,question_asking_nature,self_assessment_accuracy,exploration_tendency,teacher_relationship_quality,peer_learning_behavior,communication_clarity,discussion_engagement,test_anxiety_level,resilience_after_failure,motivation_intrinsic_vs_extrinsic,achievement_orientation,emotional_self_awareness,device_access_type,preferred_edtech_apps,digital_distraction_level,input_method_preference,highest_academic_level,study_space_quality,academic_pressure_at_home,family_responsibilities_hrs,support_system_strength,content_type_preference,knowledge_graph_nodes_covered,metacognitive_skill_level,ongoing_concept
3,2,65.0,240,calculation,0.2,4,2,3,"['active_recall', 'spaced_repetition']",2,-10.0,3,4,2,3,3,3,3,0.6,2,3,2,"['KhanAcademy', 'Quizlet', 'Duolingo']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
2,1,45.0,480,conceptual,-0.1,2,0,7,['summarization'],1,-30.0,1,2,1,2,1,5,1,0.2,1,2,1,"['Brainly', 'Wikipedia']",5,voice,middle_school,2,5,4,1,"['text', 'simulation']",['Sundial'],1,Water Clock
4,3,80.0,180,careless,0.5,5,3,2,"['active_recall', 'spaced_repetition', 'practice_tests']",3,5.0,4,5,3,4,4,2,4,0.8,3,4,2,"['Anki', 'Coursera', 'YouTube']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
2,2,55.0,360,calculation,0.1,3,1,5,"['flashcards', 'summarization']",2,-20.0,2,3,2,3,2,4,2,0.4,1,2,1,"['Quizlet', 'Brainly']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
5,3,90.0,90,careless,0.7,5,3,1,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study']",3,10.0,5,5,3,5,5,1,5,0.9,3,5,2,"['Anki', 'Notion', 'Overleaf']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
3,2,70.0,270,conceptual,0.3,4,2,4,"['active_recall', 'flashcards']",2,-5.0,3,4,2,3,3,3,3,0.7,2,3,2,"['KhanAcademy', 'Quizlet', 'Notion']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
1,1,30.0,540,conceptual,-0.3,1,0,10,['summarization'],1,-50.0,1,1,1,1,1,5,1,0.1,1,1,0,['Wikipedia'],5,voice,none,1,5,5,1,['text'],['Sundial'],1,Water Clock
4,3,75.0,210,careless,0.4,4,3,3,"['active_recall', 'spaced_repetition', 'practice_tests']",3,0.0,4,4,3,4,4,2,4,0.7,2,4,2,"['KhanAcademy', 'Anki', 'YouTube']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
1,1,35.0,510,conceptual,-0.2,2,0,9,['summarization'],1,-40.0,1,2,1,2,1,5,1,0.15,1,2,0,['Brainly'],5,voice,none,1,5,6,1,['text'],['Sundial'],1,Water Clock
5,3,85.0,150,careless,0.6,5,3,2,"['active_recall', 'spaced_repetition', 'practice_tests']",3,7.0,4,5,3,5,4,2,5,0.85,3,5,2,"['Anki', 'Notion', 'KhanAcademy']",2,typing,master,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
