conceptual_clarity_level,retention_strength,family_responsibilities_hrs,metacognitive_skill_level,ongoing_concept,error_pattern,input_method_preference,content_type_preference,next_section,difficulty,board_exam_importance,olympiad_importance,avg_study_time_min,interest_evoking,curiosity_evoking,critical_reasoning_needed,inquiry_learning_scope,example_availability
3,65.0,2,3,Uniform Linear Motion,calculation,typing,"['video', 'practice_tests']",Intuition,3,3,4,3,4,4,3,4,4
2,45.0,4,1,Water Clock,conceptual,voice,"['text', 'simulation']",Explanation (with analogies),2,3,2,2,4,4,2,3,4
4,80.0,1,4,Non-uniform Linear Motion,careless,typing,"['video', 'simulation']",Critical Thinking,4,4,3,3,4,4,5,4,3
2,55.0,3,2,Hourglass,calculation,writing,"['text', 'video']",Working,2,3,2,3,3,2,3,2,4
5,90.0,0,5,Non-uniform Linear Motion,careless,typing,"['simulation', 'gamified']",Critical Thinking,5,4,5,3,5,5,5,4,4
3,70.0,2,3,Uniform Linear Motion,conceptual,typing,"['video', 'practice_tests']",Intuition,3,3,4,3,4,4,3,4,4
1,30.0,5,1,Water Clock,conceptual,voice,['text'],Concept Definition,1,3,1,2,2,3,1,2,3
4,75.0,1,4,Non-uniform Linear Motion,careless,typing,"['video', 'simulation']",Intuition,4,3,4,3,4,4,3,4,4
1,35.0,6,1,Water Clock,conceptual,voice,['text'],Explanation (with analogies),2,3,2,3,4,4,2,3,4
5,85.0,1,5,Non-uniform Linear Motion,careless,typing,"['video', 'simulation']",Critical Thinking,5,3,4,3,5,5,5,4,4
4,72.0,2,3,Uniform Linear Motion,calculation,typing,"['video', 'practice_tests']",Intuition,3,4,3,3,4,4,3,4,4
2,50.0,5,1,Water Clock,conceptual,voice,"['text', 'simulation']",Explanation (with analogies),2,3,2,3,4,4,2,3,4
3,60.0,3,2,Hourglass,calculation,writing,"['text', 'video']",Intuition,3,3,2,3,4,4,3,3,4
4,82.0,1,4,Non-uniform Linear Motion,careless,typing,"['video', 'simulation']",Critical Thinking,4,4,3,3,5,4,5,4,4
2,40.0,7,1,Water Clock,conceptual,voice,['text'],Explanation (with analogies),2,3,2,3,4,4,2,3,4
3,68.0,2,3,Uniform Linear Motion,calculation,typing,"['video', 'practice_tests']",Intuition,3,3,4,2,4,4,3,4,4
3,58.0,3,2,Hourglass,calculation,writing,"['text', 'video']",Intuition,3,3,2,3,4,4,3,3,4
4,88.0,0,5,Non-uniform Linear Motion,careless,typing,"['simulation', 'gamified']",Critical Thinking,4,5,4,3,5,4,5,4,5
5,95.0,0,5,Non-uniform Linear Motion,careless,typing,"['simulation', 'gamified']",Critical Thinking,5,3,4,3,5,5,5,4,4
2,48.0,4,1,Water Clock,conceptual,voice,"['text', 'simulation']",Explanation (with analogies),2,3,2,3,4,4,2,3,4
3,62.0,3,2,Hourglass,calculation,writing,"['text', 'video']",Intuition,3,3,2,3,4,4,3,3,4
1,25.0,8,1,Water Clock,conceptual,voice,['text'],Concept Definition,1,3,1,2,3,3,1,2,3
3,52.0,3,2,Hourglass,calculation,writing,"['text', 'video']",Working,3,4,2,3,3,2,3,2,4
2,38.0,9,1,Water Clock,conceptual,voice,['text'],Explanation (with analogies),2,3,2,3,4,4,2,3,4
2,32.0,10,1,Water Clock,conceptual,voice,['text'],Explanation (with analogies),2,3,2,3,4,4,2,3,4
4,78.0,1,4,Non-uniform Linear Motion,careless,typing,"['video', 'simulation']",Intuition,3,4,3,3,4,4,3,4,4
1,28.0,11,1,Water Clock,conceptual,voice,['text'],Concept Definition,1,3,1,2,3,2,1,2,3
4,83.0,1,4,Non-uniform Linear Motion,careless,typing,"['video', 'simulation']",Critical Thinking,4,3,4,3,5,4,5,4,3
2,42.0,12,1,Water Clock,conceptual,voice,['text'],Explanation (with analogies),2,3,2,3,4,4,2,3,4
5,92.0,0,5,Non-uniform Linear Motion,careless,typing,"['simulation', 'gamified']",Critical Thinking,5,3,4,3,5,5,5,4,4
3,57.0,3,2,Hourglass,calculation,writing,"['text', 'video']",Intuition,3,3,2,3,4,4,3,3,4
3,63.0,3,2,Hourglass,calculation,writing,"['text', 'video']",Intuition,3,3,4,3,4,5,3,4,3
2,37.0,13,1,Water Clock,conceptual,voice,['text'],Explanation (with analogies),2,3,2,3,4,4,2,3,4
5,87.0,0,5,Non-uniform Linear Motion,careless,typing,"['simulation', 'gamified']",Critical Thinking,5,4,5,3,5,5,5,4,4
3,67.0,2,3,Uniform Linear Motion,calculation,typing,"['video', 'practice_tests']",Intuition,3,3,3,3,4,4,3,4,4
2,43.0,14,1,Water Clock,conceptual,voice,['text'],Explanation (with analogies),2,3,2,3,4,4,2,3,4
