conceptual_clarity_level,attention_span_category,retention_strength,problem_solving_speed_sec,error_pattern,growth_slope,response_to_feedback,revisions_per_week,days_between_revisions,method_of_revision,question_asking_nature,self_assessment_accuracy,exploration_tendency,teacher_relationship_quality,peer_learning_behavior,communication_clarity,discussion_engagement,test_anxiety_level,resilience_after_failure,motivation_intrinsic_vs_extrinsic,achievement_orientation,emotional_self_awareness,device_access_type,preferred_edtech_apps,digital_distraction_level,input_method_preference,highest_academic_level,study_space_quality,academic_pressure_at_home,family_responsibilities_hrs,support_system_strength,content_type_preference,knowledge_graph_nodes_covered,ongoing_concept,metacognitive_skill_level,next_section,difficulty,board_exam_importance,olympiad_importance,avg_study_time_min,interest_evoking,curiosity_evoking,critical_reasoning_needed,inquiry_learning_scope,example_availability
2,1,55.0,420,calculation,0.1,3,1,7,"['active_recall', 'summarization']",2,-15.0,1,2,1,2,1,4,2,0.3,1,2,1,"['KhanAcademy', 'Quizlet']",4,typing,high_school,2,4,3,2,"['video', 'text']",[],Sundial,1,Concept Definition,2,3,1,2,2,3,1,2,3
4,2,70.0,300,conceptual,0.2,4,2,3,"['spaced_repetition', 'practice_tests']",3,5.0,3,4,2,4,3,2,4,0.7,2,4,2,"['Desmos', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']",['Sundial'],Water Clock,3,Logical Flow,3,4,2,3,4,4,3,4,4
3,3,65.0,360,careless,0.15,5,3,2,"['spaced_repetition', 'flashcards', 'summarization']",3,10.0,4,3,2,3,4,3,3,0.6,2,3,2,"['Quizlet', 'GeoGebra']",3,typing,bachelor,3,3,2,3,"['video', 'simulation']","['Sundial', 'Water Clock']",Hourglass,2,Explanation (with analogies),3,3,2,4,4,3,2,3,4
5,3,80.0,240,conceptual,0.3,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,7.0,5,5,3,5,5,1,5,0.8,3,5,2,"['GeoGebra', 'WolframAlpha']",1,writing,master,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass']",Candle Clock,4,Concept Definition,1,2,5,5,5,5,4,5,5
2,1,50.0,500,calculation,0.05,2,1,10,"['flashcards', 'summarization']",1,-20.0,1,2,1,2,1,5,1,0.2,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Intuition,2,4,1,2,2,1,1,1,2
3,2,60.0,400,careless,0.1,4,2,4,"['flashcards', 'summarization']",2,0.0,2,3,2,3,2,4,2,0.4,1,2,1,"['KhanAcademy', 'GeoGebra']",3,typing,high_school,3,4,2,2,"['text', 'video']",['Sundial'],Water Clock,2,Intuition,3,3,2,3,3,2,2,2,3
4,3,75.0,280,conceptual,0.25,4,2,4,"['spaced_repetition', 'practice_tests']",3,8.0,4,4,3,4,4,2,4,0.75,3,4,2,"['GeoGebra', 'Desmos']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Real-Life Application,2,3,4,4,5,4,3,4,5
3,2,62.0,380,careless,0.12,3,2,5,"['flashcards', 'summarization']",2,-5.0,2,3,2,3,2,3,3,0.5,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,"Details (facts, sub-concepts)",3,4,2,3,3,3,2,3,3
3,2,68.0,370,careless,0.18,4,2,3,"['flashcards', 'summarization']",2,3.0,3,3,2,3,3,3,3,0.55,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock', 'Hourglass']",Candle Clock,2,Working,3,4,3,4,3,3,3,3,3
4,3,72.0,290,conceptual,0.22,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,6.0,4,4,3,4,4,2,4,0.7,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,What-if Scenarios,3,3,4,4,4,4,4,4,4
