conceptual_clarity_level,attention_span_category,retention_strength,problem_solving_speed_sec,error_pattern,growth_slope,response_to_feedback,revisions_per_week,days_between_revisions,method_of_revision,question_asking_nature,self_assessment_accuracy,exploration_tendency,teacher_relationship_quality,peer_learning_behavior,communication_clarity,discussion_engagement,test_anxiety_level,resilience_after_failure,motivation_intrinsic_vs_extrinsic,achievement_orientation,emotional_self_awareness,device_access_type,preferred_edtech_apps,digital_distraction_level,input_method_preference,highest_academic_level,study_space_quality,academic_pressure_at_home,family_responsibilities_hrs,support_system_strength,content_type_preference,knowledge_graph_nodes_covered,ongoing_concept,metacognitive_skill_level,next_section,difficulty,board_exam_importance,olympiad_importance,avg_study_time_min,interest_evoking,curiosity_evoking,critical_reasoning_needed,inquiry_learning_scope,example_availability
2,1,45.0,420,careless,0.1,2,1,6,"['flashcards', 'summarization']",1,-15.0,1,3,1,2,1,4,2,0.3,1,2,1,"['quizlet', 'khanacademy']",5,typing,high_school,2,4,3,2,"['video', 'text']",[],Sundial,1,Concept Definition,2,3,1,2,2,1,1,1,2
4,2,75.0,280,conceptual,0.3,4,2,3,"['active_recall', 'practice_tests', 'summarization']",2,5.0,3,4,2,4,3,2,4,0.7,2,4,2,"['khanacademy', 'youtube', 'wikipedia']",3,typing,bachelor,4,3,1,3,"['video', 'simulation']",['Sundial'],Water Clock,3,Real-Life Application,3,4,2,3,4,3,3,3,4
3,2,60.0,350,calculation,0.2,3,1,5,"['spaced_repetition', 'practice_tests']",2,-5.0,2,3,2,3,2,3,3,0.5,2,3,2,"['youtube', 'wolframalpha']",4,writing,high_school,3,2,2,3,"['simulation', 'gamified']",['Sundial'],Water Clock,2,Explanation (with analogies),2,3,2,3,4,3,2,2,3
5,3,90.0,200,conceptual,0.4,5,3,2,"['active_recall', 'practice_tests', 'summarization', 'mnemonics']",3,10.0,4,5,3,5,5,1,5,0.9,3,5,2,"['khanacademy', 'wikipedia', 'desmos']",1,typing,master,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock']",Hourglass,5,Intuition,4,5,4,4,5,4,4,4,5
2,1,50.0,480,careless,0.05,2,0,10,['flashcards'],1,-20.0,1,2,1,2,1,5,1,0.2,1,1,1,['quizlet'],5,writing,middle_school,1,5,4,1,['video'],[],Sundial,1,Logical Flow,1,2,1,1,1,1,1,1,1
3,2,70.0,380,calculation,0.15,3,2,4,"['spaced_repetition', 'summarization']",2,0.0,2,3,2,3,2,3,3,0.6,2,3,2,"['youtube', 'desmos']",3,typing,high_school,3,3,1,3,"['simulation', 'video']",['Sundial'],Water Clock,2,Working,3,4,2,3,3,2,2,2,3
4,3,80.0,250,conceptual,0.35,4,2,3,"['active_recall', 'practice_tests']",3,7.0,4,4,3,4,4,2,4,0.8,3,4,2,"['khanacademy', 'wikipedia', 'brilliant']",2,typing,bachelor,4,2,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock']",Hourglass,4,"Details (facts, sub-concepts)",3,4,3,4,4,3,3,3,4
3,2,65.0,320,calculation,0.25,3,1,4,"['spaced_repetition', 'practice_tests', 'summarization']",2,-2.0,3,3,2,3,2,3,3,0.55,2,3,2,"['youtube', 'khanacademy']",3,typing,high_school,3,3,2,3,"['simulation', 'gamified']",['Sundial'],Water Clock,2,MCQs,3,4,2,3,3,2,2,2,3
4,3,85.0,230,conceptual,0.4,4,2,3,"['active_recall', 'practice_tests', 'mnemonics']",3,8.0,4,4,3,4,4,2,4,0.85,3,4,2,"['khanacademy', 'wikipedia', 'brilliant']",2,typing,bachelor,4,2,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock']",Hourglass,4,What-if Scenarios,4,5,4,5,5,4,4,4,5
1,1,30.0,550,careless,-0.1,1,0,14,['flashcards'],1,-30.0,1,1,1,1,1,5,1,0.1,1,1,0,['quizlet'],5,writing,primary_school,1,5,5,1,['video'],[],Sundial,1,Working,1,1,1,1,1,1,1,1,1
5,3,95.0,180,conceptual,0.5,5,3,2,"['active_recall', 'practice_tests', 'summarization', 'mnemonics', 'group_study']",3,12.0,5,5,3,5,5,1,5,0.95,3,5,2,"['khanacademy', 'wikipedia', 'desmos']",1,typing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass']",Candle Clock,5,Concept Definition,5,5,5,5,5,5,5,5,5
1,1,40.0,500,careless,-0.05,1,0,12,['flashcards'],1,-25.0,1,2,1,1,1,5,1,0.15,1,1,1,['quizlet'],5,writing,primary_school,1,5,6,1,['video'],[],Sundial,1,Explanation (with analogies),1,1,1,1,1,1,1,1,1
5,3,88.0,210,conceptual,0.45,5,3,2,"['active_recall', 'practice_tests', 'summarization', 'mnemonics']",3,9.0,5,5,3,5,5,1,5,0.92,3,5,2,"['khanacademy', 'wikipedia', 'desmos']",1,typing,master,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass']",Candle Clock,5,Logical Flow,4,5,4,4,5,4,4,4,5
3,2,68.0,360,calculation,0.22,3,1,5,"['spaced_repetition', 'practice_tests']",2,-3.0,2,3,2,3,2,3,3,0.57,2,3,2,"['youtube', 'wolframalpha']",4,writing,high_school,3,2,2,3,"['simulation', 'gamified']",['Sundial'],Water Clock,2,Working,2,3,2,3,4,3,2,2,3
2,1,55.0,450,careless,0.0,2,1,7,"['flashcards', 'summarization']",1,-10.0,1,2,1,2,1,4,2,0.35,1,2,1,"['quizlet', 'khanacademy']",5,writing,middle_school,2,4,3,2,"['video', 'text']",[],Sundial,1,Intuition,2,3,1,2,2,1,1,1,2
4,3,78.0,270,conceptual,0.32,4,2,3,"['active_recall', 'practice_tests', 'summarization']",3,6.0,4,4,3,4,4,2,4,0.78,2,4,2,"['khanacademy', 'wikipedia', 'brilliant']",2,typing,bachelor,4,2,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock']",Hourglass,4,Real-Life Application,3,4,3,4,4,3,3,3,4
2,1,52.0,460,careless,0.02,2,0,9,['flashcards'],1,-12.0,1,2,1,2,1,4,2,0.25,1,2,1,"['quizlet', 'khanacademy']",5,writing,middle_school,2,4,3,2,"['video', 'text']",[],Sundial,1,Concept Definition,2,3,1,2,2,1,1,1,2
5,3,92.0,190,conceptual,0.48,5,3,2,"['active_recall', 'practice_tests', 'summarization', 'mnemonics', 'group_study']",3,11.0,5,5,3,5,5,1,5,0.93,3,5,2,"['khanacademy', 'wikipedia', 'desmos']",1,typing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass']",Candle Clock,5,Explanation (with analogies),5,5,5,5,5,5,5,5,5
