conceptual_clarity_level,attention_span_category,retention_strength,problem_solving_speed_sec,error_pattern,growth_slope,response_to_feedback,revisions_per_week,days_between_revisions,method_of_revision,question_asking_nature,self_assessment_accuracy,exploration_tendency,teacher_relationship_quality,peer_learning_behavior,communication_clarity,discussion_engagement,test_anxiety_level,resilience_after_failure,motivation_intrinsic_vs_extrinsic,achievement_orientation,emotional_self_awareness,device_access_type,preferred_edtech_apps,digital_distraction_level,input_method_preference,highest_academic_level,study_space_quality,academic_pressure_at_home,family_responsibilities_hrs,support_system_strength,content_type_preference,knowledge_graph_nodes_covered,ongoing_concept,metacognitive_skill_level,next_section,difficulty,board_exam_importance,olympiad_importance,avg_study_time_min,interest_evoking,curiosity_evoking,critical_reasoning_needed,inquiry_learning_scope,example_availability
2,1,45.0,480,calculation,0.1,2,1,6,['flashcards'],1,-20.0,1,2,1,2,1,4,2,0.3,1,2,1,"['Quizlet', 'KhanAcademy', 'Brainly']",4,typing,high_school,2,4,2,2,"['video', 'text']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,1,Working,3,4,2,4,2,1,4,1,4
4,2,70.0,300,conceptual,0.3,4,2,3,"['active_recall', 'practice_tests']",2,10.0,3,4,2,4,3,2,4,0.7,2,4,2,"['KhanAcademy', 'YouTube', 'Wikipedia']",2,typing,bachelor,4,3,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum']",Speed,3,Explanation (with analogies),2,3,4,3,4,3,3,4,5
3,2,60.0,360,careless,0.2,3,1,5,"['spaced_repetition', 'summarization']",2,5.0,2,3,2,3,2,3,3,0.5,2,3,2,"['KhanAcademy', 'Quizlet', 'YouTube']",3,writing,high_school,3,2,0,3,"['text', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed']",SI Unit of Time,2,Concept Definition,3,4,1,2,3,2,2,3,4
1,1,30.0,540,calculation,-0.1,1,0,14,['flashcards'],1,-30.0,1,1,1,1,1,5,1,0.1,1,1,1,"['Quizlet', 'Brainly']",5,writing,primary_school,1,5,4,1,['video'],['Sundial'],Water Clock,1,Concept Definition,5,5,1,1,1,1,1,1,1
5,3,85.0,240,conceptual,0.4,5,3,2,"['active_recall', 'practice_tests', 'group_study']",3,15.0,4,5,3,5,5,1,5,0.9,3,5,2,"['KhanAcademy', 'Desmos', 'WolframAlpha']",1,typing,master,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",Non-uniform Linear Motion,5,What-if Scenarios,1,2,5,5,5,5,5,5,5
2,1,40.0,500,calculation,0.05,2,1,7,['flashcards'],1,-15.0,1,2,1,2,1,4,2,0.2,1,2,1,"['Quizlet', 'KhanAcademy', 'Brainly']",4,writing,high_school,2,4,3,2,"['video', 'text']","['Sundial', 'Water Clock']",Hourglass,1,Concept Definition,4,5,1,2,2,1,2,1,3
4,3,75.0,270,conceptual,0.35,4,2,4,"['active_recall', 'practice_tests']",3,8.0,3,4,2,4,3,2,4,0.75,2,4,2,"['KhanAcademy', 'YouTube', 'WolframAlpha']",2,typing,bachelor,4,3,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",Uniform Linear Motion,3,Explanation (with analogies),2,3,4,3,4,3,3,4,5
3,2,65.0,330,careless,0.25,3,2,4,"['spaced_repetition', 'summarization']",2,7.0,2,3,2,3,2,3,3,0.6,2,3,2,"['KhanAcademy', 'Quizlet', 'YouTube']",3,writing,high_school,3,2,0,3,"['text', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed']",SI Unit of Time,2,Concept Definition,3,4,1,2,3,2,2,3,4
5,3,90.0,210,conceptual,0.5,5,3,2,"['active_recall', 'practice_tests', 'group_study']",3,20.0,5,5,3,5,5,1,5,0.95,3,5,2,"['KhanAcademy', 'Desmos', 'WolframAlpha']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",Non-uniform Linear Motion,5,What-if Scenarios,1,2,5,5,5,5,5,5,5
4,3,78.0,280,conceptual,0.38,4,2,3,"['active_recall', 'practice_tests']",3,12.0,3,4,2,4,3,2,4,0.78,2,4,2,"['KhanAcademy', 'YouTube', 'WolframAlpha']",2,typing,bachelor,4,3,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum']",Speed,3,Explanation (with analogies),2,3,4,3,4,3,3,4,5
